binary_id,sid,s15,k,majority,maj_count,counts
BIN_5695554,500,CWE-126,7,CWE-121,8,"{'CWE-121': 8, 'CWE-126': 6}"
BIN_5695554,500,CWE-126,11,CWE-121,14,"{'CWE-121': 14, 'CWE-126': 8}"
BIN_5720554,531,CWE-126,3,CWE-121,4,"{'CWE-126': 2, 'CWE-121': 4}"
BIN_5720554,531,CWE-126,5,CWE-121,7,"{'CWE-121': 7, 'CWE-126': 3}"
BIN_5720554,531,CWE-126,7,CWE-121,9,"{'CWE-126': 5, 'CWE-121': 9}"
BIN_5720554,531,CWE-126,11,CWE-121,15,"{'CWE-126': 7, 'CWE-121': 15}"
BIN_5927392,28224,CWE-196,11,CWE-197,10,"{'CWE-195': 5, 'CWE-196': 7, 'CWE-197': 10}"
BIN_6203055,33064,CWE-036,3,CWE-369,3,"{'CWE-369': 3, 'CWE-036': 3}"
BIN_6203055,33064,CWE-036,5,CWE-369,5,"{'CWE-369': 5, 'CWE-036': 5}"
BIN_6203055,33064,CWE-036,7,CWE-369,7,"{'CWE-369': 7, 'CWE-036': 7}"
BIN_6203055,33064,CWE-036,11,CWE-369,11,"{'CWE-369': 11, 'CWE-036': 11}"
BIN_6262752,28211,CWE-196,11,CWE-195,10,"{'CWE-195': 10, 'CWE-196': 7, 'CWE-197': 5}"
BIN_6330929,27058,CWE-195,3,CWE-194,3,"{'CWE-194': 3, 'CWE-195': 3}"
BIN_6330929,27058,CWE-195,5,CWE-194,5,"{'CWE-194': 5, 'CWE-195': 5}"
BIN_6330929,27058,CWE-195,7,CWE-194,7,"{'CWE-194': 7, 'CWE-195': 7}"
BIN_6330929,27058,CWE-195,11,CWE-194,11,"{'CWE-194': 11, 'CWE-195': 11}"
BIN_6537894,41133,CWE-469,3,CWE-468,3,"{'CWE-468': 3, 'CWE-469': 3}"
BIN_6537894,41133,CWE-469,5,CWE-468,5,"{'CWE-468': 5, 'CWE-469': 5}"
BIN_6537894,41133,CWE-469,7,CWE-468,7,"{'CWE-468': 7, 'CWE-469': 7}"
BIN_6537894,41133,CWE-469,11,CWE-468,11,"{'CWE-468': 11, 'CWE-469': 11}"
BIN_7446951,4923,CWE-121,3,CWE-126,3,"{'CWE-126': 3, 'CWE-121': 3}"
BIN_7681509,35236,CWE-396,3,CWE-391,3,"{'CWE-391': 3, 'CWE-396': 3}"
BIN_7681509,35236,CWE-396,5,CWE-391,5,"{'CWE-391': 5, 'CWE-396': 5}"
BIN_7681509,35236,CWE-396,7,CWE-391,7,"{'CWE-391': 7, 'CWE-396': 7}"
BIN_7681509,35236,CWE-396,11,CWE-391,11,"{'CWE-391': 11, 'CWE-396': 11}"
BIN_7748439,41583,CWE-479,11,CWE-480,9,"{'CWE-478': 5, 'CWE-479': 8, 'CWE-480': 9}"
BIN_7853970,4964,CWE-126,3,CWE-122,3,"{'CWE-122': 3, 'CWE-126': 3}"
BIN_7853970,4964,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_7853970,4964,CWE-126,7,CWE-122,9,"{'CWE-126': 5, 'CWE-122': 9}"
BIN_7853970,4964,CWE-126,11,CWE-122,13,"{'CWE-121': 1, 'CWE-126': 8, 'CWE-122': 13}"
BIN_7929901,35297,CWE-397,11,CWE-396,9,"{'CWE-396': 9, 'CWE-397': 8, 'CWE-398': 5}"
BIN_8227758,4968,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_8227758,4968,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_8227758,4968,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_8382495,4945,CWE-126,7,CWE-121,5,"{'CWE-121': 5, 'CWE-126': 5, 'CWE-122': 4}"
BIN_8493205,31014,CWE-242,11,CWE-023,10,"{'CWE-023': 10, 'CWE-242': 10, 'CWE-252': 2}"
BIN_8546391,54039,CWE-078,3,CWE-789,3,"{'CWE-789': 3, 'CWE-078': 3}"
BIN_8546391,54039,CWE-078,5,CWE-789,5,"{'CWE-789': 5, 'CWE-078': 5}"
BIN_8546391,54039,CWE-078,7,CWE-789,7,"{'CWE-789': 7, 'CWE-078': 7}"
BIN_8546391,54039,CWE-078,11,CWE-789,11,"{'CWE-789': 11, 'CWE-078': 11}"
BIN_8585579,46427,CWE-674,3,CWE-672,3,"{'CWE-672': 3, 'CWE-674': 1, 'CWE-675': 2}"
BIN_8585579,46427,CWE-674,5,CWE-672,5,"{'CWE-672': 5, 'CWE-674': 1, 'CWE-675': 4}"
BIN_8585579,46427,CWE-674,7,CWE-672,7,"{'CWE-672': 7, 'CWE-674': 1, 'CWE-675': 6}"
BIN_8585579,46427,CWE-674,11,CWE-672,11,"{'CWE-672': 11, 'CWE-674': 1, 'CWE-675': 10}"
BIN_8705444,28212,CWE-196,11,CWE-195,10,"{'CWE-195': 10, 'CWE-196': 7, 'CWE-197': 5}"
BIN_8875385,35183,CWE-391,3,CWE-390,3,"{'CWE-390': 3, 'CWE-391': 3}"
BIN_8875385,35183,CWE-391,5,CWE-390,5,"{'CWE-390': 5, 'CWE-391': 5}"
BIN_8875385,35183,CWE-391,7,CWE-390,7,"{'CWE-390': 7, 'CWE-391': 7}"
BIN_8875385,35183,CWE-391,11,CWE-390,11,"{'CWE-390': 11, 'CWE-391': 11}"
BIN_8993957,55981,CWE-835,5,CWE-843,5,"{'CWE-078': 1, 'CWE-835': 4, 'CWE-843': 5}"
BIN_8993957,55981,CWE-835,7,CWE-843,7,"{'CWE-078': 3, 'CWE-835': 4, 'CWE-843': 7}"
BIN_8993957,55981,CWE-835,11,CWE-843,11,"{'CWE-078': 7, 'CWE-835': 4, 'CWE-843': 11}"
BIN_9335771,10850,CWE-126,3,CWE-122,4,"{'CWE-122': 4, 'CWE-126': 2}"
BIN_9335771,10850,CWE-126,5,CWE-122,5,"{'CWE-122': 5, 'CWE-126': 5}"
BIN_9335771,10850,CWE-126,7,CWE-122,8,"{'CWE-122': 8, 'CWE-126': 6}"
BIN_9335771,10850,CWE-126,11,CWE-122,13,"{'CWE-122': 13, 'CWE-126': 9}"
BIN_9438337,28223,CWE-196,11,CWE-197,10,"{'CWE-195': 5, 'CWE-196': 7, 'CWE-197': 10}"
BIN_9514021,16558,CWE-134,3,CWE-127,3,"{'CWE-127': 3, 'CWE-134': 3}"
BIN_9514021,16558,CWE-134,5,CWE-127,5,"{'CWE-127': 5, 'CWE-134': 5}"
BIN_9514021,16558,CWE-134,7,CWE-127,7,"{'CWE-127': 7, 'CWE-134': 7}"
BIN_9514021,16558,CWE-134,11,CWE-127,11,"{'CWE-127': 11, 'CWE-134': 11}"
BIN_9837273,7860,CWE-135,3,CWE-122,3,"{'CWE-122': 3, 'CWE-135': 3}"
BIN_9837273,7860,CWE-135,5,CWE-122,5,"{'CWE-122': 5, 'CWE-135': 5}"
BIN_9837273,7860,CWE-135,7,CWE-122,7,"{'CWE-122': 7, 'CWE-135': 7}"
BIN_9837273,7860,CWE-135,11,CWE-122,11,"{'CWE-122': 11, 'CWE-135': 11}"
BIN_9988788,42483,CWE-571,11,CWE-570,10,"{'CWE-570': 10, 'CWE-571': 8, 'CWE-587': 4}"
